friday,portfolio_value,ndx
2026-05-08,99990.00,26247.08
2026-05-15,99081.74,26225.14
2026-05-22,99850.93,26343.97
2026-05-29,100994.21,26972.62
2026-06-05,98706.64,25709.43
2026-06-12,99535.38,25888.84
2026-06-18,100086.37,26517.93
2026-06-26,98424.27,25297.62
2026-07-02,99378.66,25832.67
2026-07-10,99994.96,26281.61
2026-07-17,98848.94,25520.24
2026-07-24,98485.51,24975.82
2026-07-31,99178.10,25373.85
2026-08-07,101896.93,26690.62
